YORF	NAME	G0.05	G0.1	G0.15	G0.2	G0.25	G0.3	N0.05	N0.1	N0.15	N0.2	N0.25	N0.3	P0.05	P0.1	P0.15	P0.2	P0.25	P0.3	S0.05	S0.1	S0.15	S0.2	S0.25	S0.3	L0.05	L0.1	L0.15	L0.2	L0.25	L0.3	U0.05	U0.1	U0.15	U0.2	U0.25	U0.3
YER133W	GLC7       || 35S primary transcript processing* || RNA binding* || YER133W || 1082009	-0.04	0.08	-0.02	-0.1	-0.29	-0.31	0.28	0.42	0.88	0.99	0.72	-0.29	-0.29	0.01	0.05	-0.23	0.11	-0.75	0.68	0.64	0.55	0.36	0.54	0.1	-0.17	0.41	0.02	-0.03	-0.14	0	-0.89	0.38	0.46	0.18	0.04	-0.22
YEL006W	|| transport || transporter activity || YEL006W || 1082580	-0.34	-0.24	-0.19	-0.37	-0.12	-0.05	0.56	0.61	0.61	0.78	0.59	0.79	-0.07	-0.16	-0.06	0.19	0.07	0.1	-0.37	0.03	-0.1	-0.09	-0.09	0.01	-0.4	-0.38	-0.28	-0.18	-0.15	-0.17	-0.52	-0.15	-0.31	-0.24	-0.11	0.1
YIL008W	URM1       || protein modification || protein binding* || YIL008W || 1081788	-0.14	0.46	0.01	-0.24	0.08	0.26	-1.26	-0.93	0.03	0.15	0.12	0.05	0.91	0.63	0.92	0.93	0.75	0.88	0.28	0.38	0.65	0.5	0.46	0.44	-0.04	-0.01	-0.44	-0.21	-0.08	-0.03	-0.24	0.38	0.47	0.2	0.12	0.16
YPL033C	|| meiosis* || molecular function unknown || YPL033C || 1083763	3.86	3.57	1.21	0.35	-0.6	-0.4	0.64	0.58	1.04	0.94	0.05	-0.86	2.57	1.84	0.8	0.661157	-0.64	-0.1	1.33158	0.4	-0.45	0.369253	-0.53	0.429922	3.43	3.93	1.62	2.61	1.48	0.45	0.65	1.3	1.72	2.31	2.15	-0.72
YMR117C	SPC24      || chromosome segregation* || structural constituent of cytoskeleton || YMR117C || 1084962	-0.89	0.09	-0.36	-0.34	-0.19	-0.2	0.74	0.32	0.68	0.29	0.33	0.28	0.32	0.24	0.65	0.46	0.81	0.43	0.104345	0.56	0.41	0.1	0.2	0.03	-1.05	-0.29	-0.11	-0.22	-0.12	-0.08	-0.507142	-0.61	-0.22	-0.16	-0.31	-0.04
YHL039W	|| biological process unknown || molecular function unknown || YHL039W || 1083344	-0.36	-0.24	0.07	0	-0.06	-0.05	-1.03	-0.89	-0.52	-0.74	-0.66	-0.22	-0.78	-0.55	-0.77	-0.91	-0.64	-0.2	-1.1	-0.78	-0.44	-0.63	-0.61	-0.45	-0.02	0.04	-0.02	-0.06	-0.29	-0.25	0.38	-0.11	-0.53	-0.43	-0.4	-0.18
YOL064C	"MET22      || sulfate assimilation* || 3'(2'),5'-bisphosphate nucleotidase activity || YOL064C || 1082741"	-0.38	-0.24	-1.06	-1.01	-0.61	-0.1	-2.09	-1.78	-0.83	-0.58	-0.28	-0.06	-0.45	-0.52	-0.31	-0.22	0.23	0.55	0.16	0.44	0.93	0.83	0.84	0.74	-0.32	0.15	0.08	0.18	0.06	-0.12	-2.03	-0.75	-0.58	-0.1	-0.21	-0.06
YNL095C	|| biological process unknown || molecular function unknown || YNL095C || 1086222	0.28	0.13	-0.4	-0.48	-0.11	0.17	0.31	0	-0.63	-0.44	-0.26	0.21	-0.09	-0.04	-0.1	0.15	0.2	0.63	0.53	0.15	-0.01	0.12	-0.15	0.32	0.16	0.09	0.02	0.04	0.03	0.01	-1.02	-0.91	-0.59	-0.61	-0.17	0.18
YBL099W	"ATP1       || ATP synthesis coupled proton transport || hydrogen-transporting ATP synthase activity, rotational mechanism || YBL099W || 1086465"	0.27	0.01	0.2	0.42	0.1	-0.27	-0.09	-0.19	-1.32	-1.18	-1.35	-1.17	-0.68	-0.66	-0.85	-1.14	-1.29	-1.68	-1.58	-0.78	-0.92	-0.97	-1.45	-1.1	-0.23	-0.49	-0.56	-0.94	-0.93	-1.25	-1.27	-0.7	-1.12	-1.51	-1.15	-1.21
YML020W	|| biological process unknown || molecular function unknown || YML020W || 1084385	0.15	-0.06	0.2	0.26	-0.08	-0.07	1.02	0.88	0.33	0.34	0.25	0.18	-0.12	-0.35	-0.29	-0.76	-0.45	-0.32	0.53	0.22	0	-0.06	0	-0.16	-0.02	-0.08	0.08	0.04	-0.02	0.01	0.26	-0.24	-0.13	-0.14	-0.2	-0.04
YDR173C	ARG82      || arginine metabolism* || inositol or phosphatidylinositol kinase activity || YDR173C || 1083086	0.5	0.08	-0.11	0.05	0.1	0.04	0.28	0.11	0.08	-0.23	-0.28	-0.33	0.79	0.51	0.04	-0.1	-0.2	0.04	1.16	0.02	-0.13	-0.3	-0.14	-0.19	0.04	-0.03	-0.03	0.13	-0.03	0.19	0.8	-0.2	-0.03	0.23	-0.05	-0.05
YFL024C	EPL1       || regulation of transcription from RNA polymerase II promoter* || histone acetyltransferase activity || YFL024C || 1080672	0.51	0.23	0.21	0.2	0.06	-0.06	1.07	0.74	0.18	0.17	0.18	-0.04	0.48	0.49	-0.06	0.1	-0.17	-0.67	0.34	0.62	0.05	0.24	0.1	0.2	0.58	0.13	-0.02	-0.06	0	-0.06	0.54	0.29	0.37	0.15	0.2	0.04
YOL044W	PEX15      || peroxisome organization and biogenesis* || molecular function unknown || YOL044W || 1085417	1.33	1.11	0.72	0.41	0.14	0.18	1.07	1.11	1.3	1.06	0.58	0.41	1.21	0.88	0.64	0.34	0.04	0.13	1.23	0.98	0.57	0.46	0.4	0.27	0.9	0.8	0.45	0.46	0.11	0.23	2.07	0.58	0.22	0.28	0.1	0.01
YER142C	MAG1       || DNA dealkylation || alkylbase DNA N-glycosylase activity || YER142C || 1085062	0.62	0.65	0.37	0.14	0.08	0.14	-0.18	-0.19	0.59	0.94	0.53	0.01	0.43	-0.2	-0.34	-0.08	-0.32	-0.21	1.13	0.46	0.4	0.19	0.32	0.15	0.4	0.23	-0.15	-0.06	0.02	-0.22	0.21	0.03	0.13	0.01	-0.23	-0.18
YLR354C	TAL1       || pentose-phosphate shunt || transaldolase activity || YLR354C || 1085351	-0.28	-0.2	0.22	0.29	0.02	0.04	-0.58	-0.59	-0.77	-0.84	-0.75	-0.25	-0.18	-0.14	-0.13	-0.3	0.05	-0.18	0.77	-0.09	-0.06	-0.1	-0.02	-0.19	-0.49	-0.4	-0.21	-0.43	-0.36	-0.13	-0.41	0.3	-0.17	0	0.01	-0.01
YLR128W	DCN1       || protein neddylation* || enzyme activator activity || YLR128W || 1082848	0.19	0.11	0.04	-0.03	-0.18	-0.19	-0.15	-0.14	-0.02	-0.4	-0.28	-0.24	0.31	0.15	0.14	-0.08	-0.05	0.03	0.3	-0.01	0.05	-0.07	-0.23	-0.22	0.01	-0.17	-0.16	-0.23	-0.32	-0.36	0.56	-0.01	-0.15	-0.18	-0.29	-0.15
YDR322C-A	TIM11      || ATP synthesis coupled proton transport || structural molecule activity || YDR322C-A || 1082064	-1.07	-0.45	-0.46	-0.08	0.12	-0.2	-2.61	-2.35	-1.58	-1.16	-0.96	-0.73	-1.04	-0.77	-0.34	-0.34	-0.45	-0.48	-2.95	-1.72	-0.73	-0.69	-0.81	-0.55	-0.57	-0.78	-0.7	-0.67	-0.71	-0.73	-1.71	-1.15	-0.85	-0.81	-0.83	-0.83
YGR157W	CHO2       || phosphatidylcholine biosynthesis || phosphatidylethanolamine N-methyltransferase activity || YGR157W || 1080871	-0.87	-0.45	-0.05	-0.38	-0.35	-0.5	-0.09	0.03	0.84	0.35	0.19	-0.26	-0.21	0.14	0.23	0.23	-0.07	-0.09	-0.12	0.98	0.59	0.5	0.46	0.25	0.38	0.38	-0.05	-0.05	0.14	-0.25	-0.46	0.58	0.03	-0.24	-0.2	-0.24
YIL017C	VID28      || negative regulation of gluconeogenesis || molecular function unknown || YIL017C || 1082519	0.6	0.62	0.76	0.67	0.17	0.18	1.25	0.92	0.66	0.71	0.56	0.3	1.34	1.05	0.92	0.85	0.45	0.23	1.61	0.82	0.74	0.6	0.59	0.49	1.34	1.04	0.62	0.38	0.32	0.23	1.48	1.28	0.83	0.56	0.41	0.32
YLL060C	GTT2       || glutathione metabolism || glutathione transferase activity || YLL060C || 1086734	0.57	0.24	0.17	0.1	-0.12	0.09	1.52	0.74	-0.33	-0.45	-0.11	-0.14	0.94	0.95	0.68	0.21	0.33	0.02	3.58	3.14	3.23	2.27	1.95	0.92	0.7	0.16	0.18	0.2	0.12	0.2	1.64	0.26	0	-0.05	-0.7	-0.05
YHR135C	YCK1       || protein amino acid phosphorylation* || casein kinase I activity || YHR135C || 1086238	-0.1	-0.4	0.01	0.05	0.1	-0.12	0.47	0.09	-1.03	-0.78	-0.4	-0.12	-0.36	-0.6	-0.73	-0.71	-0.66	-0.73	-0.4	-0.65	-0.64	-0.65	-0.66	-0.6	-0.24	-0.3	-0.1	-0.23	-0.1	-0.17	-0.27	-0.34	-0.13	-0.26	-0.15	-0.12
YJR113C	RSM7       || protein biosynthesis || structural constituent of ribosome || YJR113C || 1084718	-0.72	-0.68	-0.59	-0.13	-0.08	-0.12	-0.93	-1.09	-1.77	-1.6	-1.33	-1.14	-1.04	-0.68	-0.74	-0.89	-0.77	-1.03	-1.28	-1.59	-1.42	-1.42	-1.2	-1.13	-0.63	-0.72	-0.42	-0.46	-0.51	-0.3	-0.02	-1.03	-0.6	-0.53	-0.91	-0.78
YNL075W	IMP4       || rRNA modification* || rRNA primary transcript binding || YNL075W || 1081420	-0.28	-0.27	-0.31	-0.44	-0.04	0.27	-1.06	-0.7	-0.1	0.05	0.09	0.1	0.32	0.33	0.38	0.38	0.62	0.57	0.05	-0.12	0.32	0.27	0.27	0.17	-0.67	-0.16	0.13	0.13	0.28	0.43	-1.01	-0.12	0.11	0.4	0.17	0.4
YAL033W	POP5       || rRNA processing* || ribonuclease P activity* || YAL033W || 1086781	-0.87	-0.56	-0.56	-0.34	-0.06	-0.12	-0.98	-0.41	0.44	0.51	0.56	0.34	-0.27	-0.14	-0.17	0.12	0.12	0.61	-0.59	-0.3	0.12	0.28	0.32	0.42	-0.26	-0.17	0.07	0.29	0.17	0.18	-0.01	0.03	0.27	0.38	0.13	0.06
YOR347C	PYK2       || pyruvate metabolism || pyruvate kinase activity || YOR347C || 1081221	-0.3	-0.67	-0.05	0.08	-0.14	0.06	0.65	0.58	-0.82	-0.41	-0.45	0.28	0.62	0.94	0.93	0.89	1.1	0.99	-0.63	-0.49	-0.77	-0.45	-0.43	-0.28	0.05	-0.09	0.36	0.2	0.19	0.19	-0.09	0.01	-0.07	0.09	0.24	0.43
YBL002W	HTB2       || chromatin assembly or disassembly || DNA binding || YBL002W || 1081649	-1.23	-1.01	-0.9	-0.46	0.2	0.15	-1.22	-0.41	-0.01	0.45	0.22	0.53	-0.46	-0.09	0.27	0.84	0.91	1.12	-1.06	-0.7	-0.15	0	-0.13	0.16	-0.78	-0.64	-0.13	-0.16	-0.15	-0.32	-1.81	-0.78	-0.33	-0.34	0.02	-0.09
YPR140W	TAZ1       || phospholipid biosynthesis* || acyltransferase activity || YPR140W || 1086482	-0.19	-0.45	0.01	0.04	-0.01	0	-0.18	-0.33	-0.75	-0.58	-0.38	-0.17	-1.19	-0.98	-0.66	-0.63	-0.54	-0.57	-0.2	-0.48	-0.26	-0.54	-0.37	-0.5	-0.25	-0.27	-0.06	-0.04	0.11	0.01	-0.64	-0.35	-0.31	-0.14	-0.44	-0.21
YMR106C	YKU80      || chromatin assembly or disassembly* || RNA binding* || YMR106C || 1086879	0.08	0.03	0.36	0.25	0.14	0.05	0.28	0.16	-0.17	-0.09	-0.02	0.03	0.23	0.24	0.41	0.35	0.07	-0.36	-0.0559414	-0.27	-0.62	-0.21	-0.26	-0.3	0.04	-0.17	0.33	-0.14	-0.1	-0.25	-0.1	-0.17	-0.04	0.02	-0.29	-0.2
YDR379C-A	|| biological process unknown || molecular function unknown || YDR379C-A || 1085534	1.77	1.89	1.11	1.09	0.44	-0.29	1.19	1.4	1.64	0.92	0.23	-0.44	1.24	0.94	0.63	0.33	-0.42	-0.47	2.69	1.72	0.63	0.62	0.52	0.22	1.32	0.6	0.3	0.17	-0.2	-0.22	2.74	2	1.01	0.52	0.37	-0.31
YNL084C	"END3       || endocytosis* || protein binding, bridging || YNL084C || 1085043"	0.04	0.37	0.3	0.14	0.1	0.15	-0.38	-0.15	1.06	0.97	0.68	0.08	0.49	0.31	0.71	0.57	0.42	0.08	0.54	0.84	0.78	0.6	0.73	0.21	-0.14	0.29	0.24	0.17	0.2	0.27	-0.16	0.25	0.23	0.49	0.03	-0.04
YHR143W-A	RPC10      || transcription from RNA polymerase II promoter* || DNA-directed RNA polymerase activity || YHR143W-A || 1086085	-0.38	0.15	-0.16	-0.29	0.1	-0.02	-1.3	-0.59	0.48	0.16	0.36	0.11	0.12	0.15	0.35	0.64	0.35	0.78	0.13	0.06	0.47	0.39	0.34	0.47	-0.31	-0.08	-0.17	-0.01	0.03	0.16	-0.14	0.2	0.35	0.41	0.35	0.2
YCL057W	PRD1       || proteolysis and peptidolysis || metalloendopeptidase activity* || YCL057W || 1081463	0.17	-0.03	0.27	0.39	0.11	0.08	0.09	-0.04	-0.17	-0.27	-0.25	0.03	-0.16	-0.27	-0.4	-0.48	-0.38	-0.31	-0.59	-0.23	-0.05	-0.09	-0.17	-0.22	0.18	-0.14	0.13	-0.09	-0.13	-0.02	-0.57	0.16	-0.01	-0.07	-0.1	-0.08
YDR329C	PEX3       || peroxisome organization and biogenesis* || protein binding || YDR329C || 1081340	0.26	0.06	-0.06	-0.2	-0.36	-0.34	-0.04	-0.33	-0.37	-0.5	-0.39	-0.52	0.72	0.61	0.52	0.41	0.27	-0.09	-0.25	-0.26	-0.18	-0.29	-0.29	-0.34	-0.32	-0.21	-0.26	-0.2	-0.34	-0.33	-0.49	-0.23	-0.48	-0.4	-0.33	-0.22
YOR180C	DCI1       || fatty acid beta-oxidation || dodecenoyl-CoA delta-isomerase activity || YOR180C || 1084641	2.62	2.29	1.28	0.82	0.49	0.23	0.02	0.25	0.65	0.45	0.41	0.2	-0.23	-0.44	-0.32	-0.33	-0.37	-0.32	-0.37	0.28	0.3	0.26	0.25	0.27	-0.21	0.28	0.22	0.14	0.1	0.2	-0.39	0.27	0.07	0.09	-0.04	0.01
YFL004W	"VTC2       || vacuole fusion, non-autophagic* || molecular function unknown || YFL004W || 1080783"	-0.26	-0.32	0.15	0.01	-0.19	-0.33	1.14	1.08	0.87	1.02	0.61	0.29	2.71	2.71	2.79	2.38	2.41	2.02	0.24	0.11	0.07	-0.02	0.09	-0.05	-0.12	0.08	0.02	-0.06	-0.04	-0.06	-0.59	-0.24	-0.23	0.02	-0.06	-0.17
YDR162C	NBP2       || response to heat* || molecular function unknown || YDR162C || 1083822	0.62	0.61	0.44	0.22	0.18	0.09	0.44	0.58	0.13	0.3	0.23	0.13	-0.41	-0.31	-0.33	-0.4	-0.26	-0.3	1.41	0.46	0.25	0.22	0.22	0.16	0.34	0.31	0.24	0.26	0.23	0.11	0.67	0.29	0.16	0.27	0.12	0.11
YFL013C	IES1       || chromatin remodeling || molecular function unknown || YFL013C || 1082749	0.61	0.29	0.5	0.42	0.07	0.02	1.34	0.89	0.25	0.04	0.05	-0.17	-0.26	-0.24	-0.36	-0.76	-0.54	-0.89	0.29	0.46	0.05	-0.06	-0.11	-0.16	0.48	0.04	0.02	-0.11	-0.16	-0.21	0.89	0.14	0.07	0	-0.08	-0.2
YDL035C	GPR1       || pseudohyphal growth* || G-protein coupled receptor activity || YDL035C || 1085724	0.08	-0.12	-0.03	-0.26	-0.25	-0.28	0.68	0.42	0.2	0.17	-0.1	-0.38	1.1	1.05	0.81	0.76	0.42	0.33	0.76	0.38	0.15	0.1	0.05	-0.02	0.5	0.37	-0.07	-0.04	-0.23	-0.12	0.23	0.06	-0.15	-0.1	0.01	-0.16
YOL033W	MSE1       || protein biosynthesis* || glutamate-tRNA ligase activity || YOL033W || 1084905	-0.65	-0.72	-0.58	-0.25	0.04	0.28	-0.55	-0.97	-0.97	-0.75	-0.56	-0.46	-0.86	-0.82	-0.71	-1.09	-0.65	-0.89	-0.92	-0.78	-0.82	-0.94	-0.6	-0.86	-0.61	-0.6	-0.11	-0.21	0.07	0.14	-1.12	-0.96	-0.41	-0.2	-0.66	-0.28
YGL059W	|| biological process unknown || protein kinase activity || YGL059W || 1086268	0.95	1.07	0.46	0.08	-0.04	-0.09	-0.35	-0.37	0.18	0.17	0.07	-0.19	0.79	0.47	0.24	0.19	0.08	-0.29	-0.07	-0.22	-0.19	-0.25	-0.14	-0.36	0.86	1.06	0.29	0.27	-0.34	-0.81	-0.87	-0.31	-0.35	-0.14	-0.45	-0.62
YJR102C	VPS25      || protein-vacuolar targeting* || molecular function unknown || YJR102C || 1086037	-0.03	0.35	0.21	0.27	0.19	0.12	-0.16	-0.04	0.55	0.4	0.23	0.13	0.21	0.11	-0.02	0.06	-0.09	0.03	0.5	0.19	0.3	0.24	0.11	0.22	0.14	0.17	0.1	0.06	0.15	0.24	0.34	0.22	0.28	0.29	0.25	0.14
YOR160W	MTR10      || protein-nucleus import* || nuclear localization sequence binding || YOR160W || 1086665	-0.15	-0.08	0.05	0.19	0.19	0.17	0.35	0.53	0.62	0.42	0.36	0.4	0.39	0.47	0.31	0.44	0.32	0.51	0.16	0.27	0.26	0.35	0.27	0.37	0.17	0.12	0.15	0.1	0.12	0.19	1.19	0.22	0.17	0.09	0.42	0.22
YPL088W	|| aldehyde metabolism || aryl-alcohol dehydrogenase activity || YPL088W || 1085910	0.42	1.02	1.15	0.98	0.12	0.12	1.4	0.72	1.11	0.62	0.83	0.66	0.98	0.76	0.47	0.45	0.42	0.04	0.4	0.39	0.08	0.09	0.16	0.19	0.74	0.59	0.34	0.26	-0.21	0.07	0.64	0.63	0.73	0.51	0.29	0.27
YAL031C	|| biological process unknown || molecular function unknown || YAL031C || 1082853	0.32	0	0.11	0.37	0.01	0.05	0.72	0.36	0.01	-0.1	-0.2	0.01	0.52	0.36	-0.07	0.04	-0.2	0.17	0.27	0.18	0.11	0.21	-0.07	0.12	0.6	0.14	-0.1	-0.13	-0.05	-0.16	1.01	-0.02	-0.1	-0.28	-0.01	-0.04
YBL077W	||  ||  || YBL077W || 1082467	0.04	0.12	-0.26	0.05	0.06	0.32	-0.04	0.35	0.17	0.06	0.08	0.3	0.16	0.28	-0.43	-0.43	-0.46	0.87	1.12	0.12	0.35	0.48	0.23	0.48	0.69	0.42	0.31	0.43	0.44	-0.02	1.22	-0.22	0.28	0.33	0.41	0.2
YLR126C	|| biological process unknown || molecular function unknown || YLR126C || 1080875	0.28	0.53	0.39	-0.14	-0.3	-0.33	0.33	0.86	2.09	1.62	1.28	0.56	0.6	0.51	0.7	0.72	0.82	0.64	-0.13	0.78	0.67	0.64	0.46	0.24	0.46	0.82	0.61	0.71	0.2	0.06	1.59	0.86	0.11	0.26	-0.19	-0.36
YPL011C	TAF3       || transcription initiation from RNA polymerase II promoter* || general RNA polymerase II transcription factor activity || YPL011C || 1086710	-0.02	0.02	-0.19	-0.14	-0.27	-0.2	-0.31	-0.08	0.22	0.03	-0.09	-0.24	0.67	0.43	0.26	0.41	0.04	0.13	0.42	0.21	0.11	0.12	0.06	-0.05	0.19	0.2	-0.05	0.01	-0.16	-0.01	0.4	0.07	-0.14	-0.07	-0.06	-0.01
YHL017W	|| biological process unknown || molecular function unknown || YHL017W || 1082526	-0.73	-0.71	-0.54	-0.17	-0.29	-0.06	-0.7	-0.58	-0.54	-0.52	-0.3	0.05	-0.61	-0.36	-0.32	-0.4	-0.24	0.09	-1.77	-0.69	-0.41	-0.24	-0.25	0.14	-0.62	-0.22	-0.23	-0.21	0.27	0.14	-1.22	-0.09	-0.1	-0.03	0.05	0.54
YMR301C	"ATM1       || iron ion homeostasis || ATPase activity, coupled to transmembrane movement of substances || YMR301C || 1081640"	0.14	-0.14	0.29	0.29	0.14	0.25	1	0.93	-0.35	-0.45	-0.21	0.18	-1.37	-1.06	-0.98	-1.23	-0.66	-0.89	2.84	1.49	0.96	0.9	0.74	0.68	-0.02	-0.25	0.13	0.02	0.21	0.11	0.67	-0.13	0.09	-0.28	-0.02	0.18
YGR135W	PRE9       || ubiquitin-dependent protein catabolism* || endopeptidase activity || YGR135W || 1086487	0.69	0.86	0.46	0.1	0.02	0.04	-0.11	-0.04	0.88	0.98	0.74	0.02	0.56	0.53	0.65	0.64	0.54	0.28	1.04	0.88	0.79	0.51	0.65	0.27	0.58	0.56	0.25	0.25	0.19	0.15	0.27	0.51	0.43	0.47	0.2	0
YHR104W	GRE3       || response to stress* || aldo-keto reductase activity* || YHR104W || 1082477	0.71	0.19	0.91	1.13	0.44	0.28	0.75	0.53	0	0.41	-0.12	0.36	1.07	0.87	0.57	0.36	0.44	-0.09	0.7	0.41	0.3	0.48	0.4	0.48	0.98	0.78	0.4	0.26	0.3	0.37	1.09	1.57	0.98	0.44	0.69	0.66
YDL024C	DIA3       || pseudohyphal growth* || acid phosphatase activity || YDL024C || 1081492	1.59	1.24	0.52	0.47	0.55	0.09	2.02	1.58	1.03	0.9	0.4	-0.24	2.76	2.41	1.75268	1.20539	1.53	1.02	0.915007	0.69	0.19	0.45	0.48	-0.16	1.04	-0.07	-0.17	-0.16	-0.05	-0.11	0.66	0.43	0.21	0.17	-0.11	-0.43
YDR151C	CTH1       || transcription* || transcription factor activity || YDR151C || 1080755	-0.05	-0.28	-0.33	-0.35	-0.25	-0.06	-0.51	-0.6	-0.32	-0.08	0.03	0.16	0.46	0.38	0.26	0.46	0.59	0.73	-0.17	-0.23	0.1	0.13	0.12	0.13	0.26	0.91	0.6	0.71	0.59	0.52	-0.21	0.53	0.11	0.4	0.38	0.15
YBL086C	|| biological process unknown || molecular function unknown || YBL086C || 1081568	0	-0.48	-0.11	0.2	-0.06	-0.12	0.26	0.11	-0.12	-0.04	0.1	-0.21	0.52	0.04	-0.12	-0.28	-0.36	-0.47	-0.34	-0.26	-0.34	-0.17	-0.08	-0.25	-0.09	-0.13	-0.31	-0.12	-0.06	-0.2	0.26	-0.18	-0.01	0.01	0.04	-0.16
YFL002C	SPB4       || 35S primary transcript processing* || ATP-dependent RNA helicase activity || YFL002C || 1083775	-0.51	-0.6	-0.29	-0.5	-0.26	-0.14	-0.55	-0.59	-0.34	-0.31	-0.08	-0.25	1.2	0.79	0.51	0.19	0.3	0.44	0.24	-0.32	-0.23	-0.23	-0.08	-0.22	-0.06	-0.07	-0.26	-0.22	-0.15	-0.17	0.92	-0.19	-0.04	-0.16	-0.07	-0.08
YKL216W	URA1       || 'de novo' pyrimidine base biosynthesis || dihydroorotate dehydrogenase activity || YKL216W || 1081631	-0.48	-0.64	-0.23	-0.02	0.2	0.34	-1.27	-0.95	-0.52	-0.21	-0.15	0.24	-0.88	-0.71	-0.37	-0.48	-0.13	0.19	-0.99	-0.69	-0.11	0.07	0.21	0.25	-0.59	-0.41	-0.16	-0.08	0.03	0.38	2.41	3.86	3.21	3.58	3.55	3.23
YGL057C	|| biological process unknown || molecular function unknown || YGL057C || 1084740	-0.23	-0.31	-0.34	-0.15	0.05	0.09	-0.97	-0.87	-0.21	0.09	-0.23	0	0.39	0.32	0.18	0.28	0.11	0.04	-0.77	-0.12	0.04	-0.02	0.03	-0.04	-0.34	-0.19	-0.36	-0.16	-0.11	-0.12	-0.39	-0.13	-0.27	-0.16	-0.33	-0.11
YNL053W	MSG5       || protein amino acid dephosphorylation* || prenylated protein tyrosine phosphatase activity || YNL053W || 1086135	-0.15	-0.21	-0.06	-0.03	-0.14	-0.4	0.23	0.08	-0.23	-0.46	-0.3	-0.12	0.39	0.37	0.27	0.31	0.18	0.15	0.39	-0.07	0.14	-0.01	-0.18	-0.21	-0.18	-0.3	-0.4	-0.39	-0.42	-0.48	0.78	-0.08	-0.17	-0.41	-0.57	-0.41
YAL011W	SWC3       || chromatin remodeling* || molecular function unknown || YAL011W || 1080854	-0.18	-0.58	-0.26	-0.11	-0.13	-0.03	0.04	-0.26	-0.53	-0.3	-0.23	-0.31	-0.11	-0.14	0	-0.16	-0.21	-0.14	-0.14	-0.57	-0.54	-0.43	-0.25	-0.43	0.05	0.06	-0.09	-0.18	-0.23	-0.01	0.02	-0.37	-0.45	-0.28	-0.38	-0.23
YHL026C	|| biological process unknown || molecular function unknown || YHL026C || 1085234	-0.73	-0.7	-0.13	0.08	0.07	0.14	0.55	0.39	-0.32	-0.22	-0.15	0.44	0.53	0.37	0.07	0.06	-0.13	0.3	-0.71	-0.46	-0.38	0.05	-0.13	0.22	-0.04	-0.1	0.09	0.01	0.3	0.26	1.54	1.19	0.83	0.56	0.67	0.88
YER100W	UBC6       || protein monoubiquitination* || ubiquitin conjugating enzyme activity || YER100W || 1082608	0.24	-0.02	0.08	0.11	0.07	-0.07	0.73	0.47	0.08	0.28	0.19	0.01	0.16	0.07	-0.3	-0.55	-0.3	-0.06	0.42	0.08	0.2	0	0.04	-0.07	0.25	0	0.26	0.1	-0.03	0.05	0.53	0.31	0.19	0.25	0.22	0.05
YHR199C	|| biological process unknown || molecular function unknown || YHR199C || 1083111	0.07	-0.07	0.14	0.33	0.09	0.13	0.35	0.23	-0.88	-0.61	-0.58	0.1	-0.39	-0.49	-0.62	-0.59	-0.23	-0.35	0.03	-0.6	-0.34	-0.18	-0.28	-0.05	0.6	0.5	0.23	0.24	0.05	0.06	0.63	0.15	-0.08	-0.14	0.07	0.27
YAL020C	ATS1       || budding cell bud growth* || molecular function unknown || YAL020C || 1081319	0.21	0.41	0.19	0.32	0.08	0.07	1.2	0.76	-0.79	-0.6	-0.49	0.17	-1.49	-1.17	-1.16	-0.71	-0.41	-0.16	0.67	-0.03	-0.57	-0.51	-0.57	-0.06	0.3	0.02	0.29	0.29	0.43	0.19	0.42	-0.34	-0.16	-0.23	-0.1	0.27
YNL062C	GCD10      || translational initiation* || tRNA binding* || YNL062C || 1080825	-0.81	-0.84	-0.5	-0.52	-0.29	-0.01	-1.36	-1.07	-0.76	-0.36	-0.08	-0.08	-0.27	-0.16	0.27	-0.12	0.35	0.17	-1.22	-1.16	-0.42	-0.45	-0.26	-0.34	-0.88	-0.57	-0.16	-0.21	-0.05	0.16	-1.59	-0.7	-0.22	-0.05	-0.32	-0.08
YOR305W	|| biological process unknown || molecular function unknown || YOR305W || 1084339	-0.65	-0.3	-0.07	-0.05	0.06	0.06	-0.86	-0.6	0.27	0.26	0.33	0.08	-0.14	-0.19	-0.07	0.15	-0.01	0.01	0.1	-0.07	0.11	0.09	0.2	0.08	-0.35	-0.13	-0.13	0.08	-0.08	0.1	-0.41	-0.26	0.08	0.04	0.01	-0.16
YDL004W	"ATP16      || ATP synthesis coupled proton transport || hydrogen-transporting ATP synthase activity, rotational mechanism || YDL004W || 1084703"	0.05	0.5	0.31	0.23	0.26	-0.04	-1.58	-1.07	0.02	-0.09	-0.47	-0.71	0.45	0.43	0.41	0.36	-0.38	-0.68	-0.99	-0.16	0.02	-0.16	-0.29	-0.46	-0.45	-0.23	-0.46	-0.54	-0.51	-0.54	-0.89	-0.07	-0.41	-0.48	-0.76	-0.87
YOL031C	"SIL1       || SRP-dependent cotranslational protein-membrane targeting, translocation || molecular function unknown || YOL031C || 1084055"	-0.62	-0.51	-0.26	-0.24	-0.21	-0.15	-0.94	-0.86	0.04	0.17	0.26	0.1	0.01	0	0.04	0.3	0.23	0.21	-0.61	-0.16	0.04	0.11	0.07	0.15	-0.55	-0.17	-0.28	-0.16	0.09	0.1	-0.66	-0.04	0.2	-0.13	-0.01	0
